Blog	need	less	than	think	com	media	needs	office	work	who	does	do	question	another	maybe	three	very	different	companies	company	being	e	b	where	story	along	get	app	today	read	me	know	most	popular	hard	find	now	rest	stuff	also	place	view	old	reports	change	between	web	see	re	looking	stay	same	top	before	search	something	over	recently	recent	too	hope	might	pick	left	right	better	support	name	account	home	down	project	small	link	ll	open	may	seen	twitter	other	already	so	much	back	were	done	reading	links	thanks	using	always	please	keep	coming	our	way	interesting	everyone	else	few	send	us	email	team	five	years	called	week	year	around	lot	probably	big	deal	kind	far	ve	ever	any	job	got	made	came	m	happy	because	every	day	best	pretty	world	well	into	let	just	say	post	isn	many	why	someone	saying	special	things	together	did	often	d	go	make	some	end	tell	anything	times	didn	matter	anyone	yet	after	months	would	never	working	don	case	ideas	everything	try	future	happens	hour	focus	real	great	even	ways	important	feel	while	easy	enough	here	them	during	possible	minutes	building	hours	fact	close	related	including	hand	life	example	am	wait	until	business	start	long	makes	take	care	means	early	morning	family	actually	off	through	trying	comes	co	good	night	next	doing	part	no	daily	own	want	call	doesn	having	give	space	thing	such	self	true	learned	believe	those	show	going	these	really	build	thinking	mean	course	perhaps	thought	put	making	without	smart	human	james	john	michael	idea	used	design	help	sure	nothing	which	later	problem	built	questions	number	little	gets	run	getting	had	instead	still	full	found	talking	piece	two	look	then	point	side	version	data	list	known	set	create	each	turn	update	person	once	high	feature	days	wrong	short	talk	should	shows	per	since	longer	page	experience	use	free	asked	said	must	happened	result	decided	online	community	based	members	network	helping	process	especially	ten	won	quite	again	information	yourself	write	she	her	google	second	security	state	art	system	sign	love	become	turned	almost	facebook	bit	both	hear	word	yesterday	group	he	him	went	says	ad	water	started	ask	couple	android	image	following	via	last	behind	text	immigration	former	friend	policy	america	trump	administration	president	could	young	white	only	york	women	bad	force	kids	country	monday	air	least	power	against	internet	june	cool	parents	friends	public	goes	sometimes	come	past	continue	th	writing	large	ago	its	wrote	readers	site	amazon	game	social	appeared	share	man	men	father	others	service	photos	looks	four	nbsp	heard	money	third	though	live	news	his	blog	technology	took	fun	living	results	several	simple	photo	seem	content	tools	play	within	users	youtube	fine	month	line	children	video	health	latest	stories	book	books	under	government	told	house	deep	war	age	k	rights	taking	include	available	article	away	key	percent	million	stop	watch	center	national	director	science	personal	april	announced	american	child	u	whole	filled	black	half	taken	music	seven	series	according	movie	tv	report	yes	finally	border	dark	fans	apple
O'Reilly Radar	0	0	0	0	3	0	0	0	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	7	0	0	0	1	0	0	0	1	0	0	10	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	3	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	2	0	0	1	0	0	0	0	0	0	1	0	0	1	10	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2
Pharyngula	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	3	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	3	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	3	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	1	1	0	0	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	4	0	0
Seth Godin's Blog on marketing, tribes and respect	1	1	2	0	0	0	0	0	3	3	0	6	1	0	1	0	0	2	0	0	1	0	0	1	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	6	1	0	3	0	3	0	0	1	0	0	3	0	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	2	0	0	0	0	1	0	0	1	0	4	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	1	1	0	2	1	0	5	0	0	2	0	0	0	1	0	2	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1	1	0	1	0	0	1	3	0	2	0	0	0	0	0	2	2	0	0	1	0	1	0	0	0	1	0	2	0	0	0	0	0	0	0	1	1	0	0	0	0	5	0	0	0	0	1	0	0	2	1	0	0	1	0	1	0	0	1	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	1	0	0	2	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	3	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slashdot	3	0	1	0	6	0	1	1	1	1	0	2	1	2	0	1	2	0	2	12	3	3	0	4	15	0	2	10	3	17	0	1	2	0	0	1	6	1	0	7	0	0	1	8	1	1	2	0	2	0	2	0	2	0	3	2	6	0	1	2	1	0	0	0	1	0	5	0	6	1	4	0	1	2	1	6	6	0	0	6	2	1	3	4	7	1	0	0	0	6	0	1	0	3	1	0	1	0	3	1	1	2	3	1	0	0	1	4	2	3	1	0	1	5	0	0	2	2	1	0	1	1	0	0	0	2	0	0	0	0	5	4	6	2	4	0	1	0	1	0	1	0	0	2	0	0	0	1	1	3	6	1	1	0	0	2	0	3	1	1	1	8	1	4	2	6	0	1	0	1	0	0	0	0	0	2	0	1	0	1	1	1	1	0	2	1	1	2	0	0	0	1	6	1	0	1	1	0	0	0	1	2	0	0	3	0	0	1	0	2	0	4	0	1	2	1	1	3	0	1	5	0	3	1	4	1	1	1	7	0	1	0	0	1	0	2	0	3	2	1	2	0	0	1	0	1	2	2	0	3	1	0	0	0	0	2	0	1	1	0	11	3	0	5	0	0	1	1	2	1	2	3	4	1	4	0	2	6	0	1	1	0	2	7	0	2	1	2	1	0	0	2	1	2	5	1	0	0	0	2	1	1	1	2	3	0	5	0	0	11	1	0	1	0	1	0	9	0	0	0	1	0	0	1	1	1	2	0	0	0	1	24	0	8	1	0	5	1	0	0	0	0	0	0	2	1	0	0	3	6	3	0	4	0	0	1	1	0	7	0	1	1	4	0	1	0	1	0	0	0	11	3	3	11	0	1	4	0	0	0	7	0	0	4	2	1	1	2	2	0	1	0	0	0	1	1	0	0	1	0	2	0	0	8	0	0	0	4	0	0	1	3	0	0	0	1	3	0	0	0	0	0	0	0	0	0	6	1	1	1	1	0	0	0	1	0	0	0	1	2	0	2	2	6	0	1	0	0	1	4	0	0	3	0	1	1	3	4	0	0	0	0	2	1	2	0	0	0	0	3	2	3	0	1	6	1	1	1	1	1	1	0	9	0	0	0	0	0	1	0	0	1	0	0	13	0	1	0	0	0	9
ThinkProgress	0	2	2	0	0	0	0	0	0	2	1	0	0	0	0	0	0	1	0	1	1	0	0	1	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	2	0	0	0	0	2	0	1	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	2	1	0	1	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	1	0	1	1	0	0	0	1	0	0	0	1	0	0	0	2	0	2	0	0	0	0	1	0	0	2	0	0	1	0	0	5	0	6	6	2	1	1	1	0	0	0	1	0	6	2	4	0	0	0	2	0	0	0	3	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	3	0	0	0	1	0	2	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	2	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	4	0	0	0
The Dish	0	1	4	1	1	0	0	0	3	5	0	4	2	2	1	1	1	1	0	0	0	0	0	0	4	0	2	0	1	11	11	7	5	0	1	2	2	0	0	0	1	2	3	0	0	1	0	0	2	2	0	2	0	1	0	0	3	4	1	1	4	1	1	0	0	2	2	0	0	1	1	0	0	0	3	2	1	0	0	2	0	6	2	3	1	0	35	1	0	0	1	3	1	0	6	0	0	0	1	0	1	3	4	0	1	12	0	1	3	5	0	2	2	0	0	0	3	0	1	1	0	2	0	1	0	1	1	12	0	0	8	1	1	0	4	1	4	1	3	5	0	1	0	3	0	2	2	1	3	2	1	3	0	0	1	3	0	2	1	2	0	1	2	0	4	1	1	0	0	0	0	0	0	1	0	5	0	0	0	0	0	1	2	0	2	1	0	0	0	1	1	0	1	0	1	4	2	0	0	0	0	7	0	1	0	0	1	2	0	0	0	4	0	0	0	0	0	1	1	3	6	0	1	1	0	1	0	0	0	1	0	0	0	0	0	3	0	2	5	0	0	0	0	0	2	2	0	0	2	0	0	0	1	1	3	0	0	0	0	2	2	0	1	0	1	1	2	0	0	0	4	0	2	0	1	0	2	1	3	7	0	0	0	0	0	1	0	0	0	0	1	1	0	1	0	0	0	4	2	4	1	0	2	0	0	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	1	1	0	7	2	0	1	0	0	0	0	1	3	0	3	0	1	0	0	0	1	0	0	0	0	2	0	3	1	0	0	1	1	0	2	0	0	1	1	0	0	3	0	0	1	0	0	0	0	0	2	0	1	3	0	0	1	1	1	0	0	0	3	33	0	3	0	2	0	1	9	2	0	2	0	0	0	1	0	0	1	0	1	0	0	0	0	1	0	1	1	2	11	6	0	1	0	2	1	0	2	2	1	2	0	0	0	0	0	1	0	0	0	0	1	3	0	4	1	2	0	1	2	0	3	1	1	1	1	0	0	0	0	1	1	1	0	0	1	0	0	1	1	0	0	0	2	3	0	1	0	1	0	0	3	0	2	0	1	0	1	0	0	0	0	0
WIL WHEATON dot NET	14	2	23	16	1	4	2	1	55	48	9	65	1	6	7	7	10	5	0	0	12	1	0	23	20	2	36	0	25	3	103	55	13	2	3	9	29	6	12	6	5	0	5	0	4	3	0	16	26	4	4	4	1	18	0	20	20	0	3	4	3	0	1	2	24	16	3	4	4	3	4	2	3	0	14	0	7	0	12	15	7	94	14	25	23	15	5	0	4	1	13	8	11	5	21	26	0	2	5	14	2	13	0	1	7	14	1	3	6	9	33	11	4	5	6	2	38	22	8	0	14	11	5	95	4	75	24	34	21	5	21	6	15	9	58	10	7	8	8	3	20	1	0	31	8	26	0	16	24	24	31	15	13	9	7	36	1	4	3	13	3	29	18	16	35	3	0	23	3	0	3	2	8	8	7	20	3	3	36	9	6	7	16	28	2	2	5	0	14	1	6	0	2	7	27	3	21	2	12	0	9	5	3	10	11	2	8	5	3	5	6	14	4	4	0	22	20	8	19	23	14	3	10	26	1	11	10	11	2	18	3	8	1	2	6	21	4	45	12	30	2	5	2	1	0	12	9	10	7	1	3	0	0	0	3	0	0	28	8	7	14	5	5	0	2	1	16	1	2	10	33	3	3	5	5	3	0	6	8	16	9	6	0	0	1	4	2	2	9	1	0	24	7	0	0	9	3	3	9	7	0	0	6	1	5	4	11	2	6	19	1	7	6	3	2	0	1	0	0	4	9	2	7	3	2	9	2	3	6	20	5	0	2	0	1	0	0	0	7	2	2	6	0	5	0	5	4	7	1	17	3	7	1	0	0	14	11	7	0	0	5	0	13	1	0	0	0	1	0	4	0	0	0	19	3	2	6	1	0	14	1	5	2	0	0	4	3	1	1	0	0	11	5	4	4	2	6	2	1	0	18	3	4	3	10	7	0	0	0	5	0	9	2	0	0	2	0	1	1	7	2	1	3	2	4	13	0	5	5	0	3	3	12	0	1	0	0	3	0	3	2	0	0	5	1	0	3	3	1	7	1	2	5	0	3	0	7	3	3	2	3	2	0	2	0	0	0	12	0	0	0	8	0	1	0	0	4	3	0	1	0	3	0	3	0	0	2	2	0	3	2	0	0	1	0	3	6	0	2	2	0
43 Folders	21	16	36	31	17	2	4	0	59	70	5	74	3	10	14	3	29	7	2	2	17	3	6	20	6	1	50	8	13	43	82	40	41	2	16	10	41	0	27	27	7	4	10	0	13	3	10	18	48	2	6	9	2	13	0	23	29	1	2	14	20	16	2	2	24	27	3	3	1	6	9	3	2	2	37	4	15	1	4	22	13	75	37	25	16	10	13	2	13	8	20	16	10	1	35	36	2	8	7	13	3	21	11	2	4	16	3	11	14	10	39	8	25	2	9	7	40	26	38	19	2	28	1	47	6	57	12	16	14	11	13	24	21	17	70	21	2	0	20	32	7	11	5	55	3	13	19	45	21	45	28	7	17	14	3	8	8	14	6	10	4	20	26	7	46	3	3	12	18	8	3	4	3	19	14	50	5	13	7	10	5	15	28	22	2	5	7	3	4	9	2	3	8	3	32	0	14	1	15	8	11	21	5	10	27	11	4	7	4	14	13	7	10	5	0	26	5	3	16	17	37	4	13	26	3	18	11	4	1	33	6	9	9	3	9	27	4	7	24	77	2	5	7	2	3	10	3	11	12	4	4	2	15	0	6	6	10	30	10	7	45	5	15	2	0	9	28	13	6	11	26	4	20	7	1	4	0	10	5	25	21	4	3	3	3	2	3	0	13	5	4	8	4	0	1	7	6	3	22	16	0	0	5	1	4	4	11	8	1	14	1	2	2	18	1	0	2	0	4	6	2	8	2	10	5	10	6	15	3	29	17	2	8	0	0	3	4	0	15	12	3	13	1	7	8	8	3	1	0	39	12	2	13	1	5	2	9	7	0	0	2	1	13	2	4	0	0	5	0	1	0	0	0	24	2	0	22	1	0	6	2	1	0	1	3	11	7	4	3	0	3	0	5	1	10	15	5	8	4	1	4	3	3	9	2	2	2	1	2	1	0	4	7	2	2	4	3	0	3	5	1	2	5	2	2	8	1	28	5	3	2	3	12	2	2	7	2	4	1	5	6	2	5	0	4	2	3	1	14	2	0	2	25	1	20	0	6	2	0	0	0	2	0	1	1	5	4	7	2	1	0	11	6	0	0	0	0	4	3	0	2	0	0	4	2	1	9	0	0	1	0	0	1	4	0	13	6	0	0	1	1
456 Berea Street	3	0	6	3	0	0	2	0	1	1	0	5	0	0	0	1	1	5	0	0	2	0	0	1	0	1	2	0	0	10	2	0	3	0	0	1	1	0	0	1	0	0	0	0	1	0	4	4	0	0	0	1	2	2	0	0	4	0	1	2	0	0	0	0	0	0	1	0	0	0	4	0	2	1	0	0	5	1	0	0	1	6	0	0	3	0	0	1	0	3	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	3	2	3	0	0	0	0	0	0	1	2	0	1	0	0	4	1	0	1	0	4	3	4	2	0	0	0	1	0	0	2	3	1	5	5	0	0	0	0	1	0	1	0	3	0	0	1	1	4	1	0	0	0	0	2	0	0	0	1	3	2	1	0	2	1	1	2	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	1	0	1	1	1	0	1	0	0	1	1	2	0	1	1	0	1	1	1	0	0	0	0	0	0	0	1	0	1	1	3	0	0	0	1	0	2	0	2	1	0	0	0	0	0	0	2	2	2	1	0	4	0	3	0	0	1	1	1	0	1	1	1	0	12	1	0	0	1	6	1	0	0	0	5	1	0	3	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	6	0	0	0	1	5	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2	1	0	0	0	1	0	2	7	2	1	2	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	1	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	2	0	1	0	0	0	0
Autoblog	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	2	0	0	0	4	0	0	0	0	0	0	4	0	0	0	0	1	1	0	0	0	1	0	0	2	0	0	3	0	2	0	0	39	2	1	0	0	4	3	0	0	3	0	0	7	0	0	3	0	0	0	0	2	0	0	0	3	0	0	3	0	3	0	0	5	0	1	4	1	2	0	39	0	0	0	0	39	0	0	39	6	0	0	0	0	0	0	39	0	1	1	0	0	2	1	3	3	1	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	2	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	6	1	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	2	0	0	0	0	0	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	5	0	0	1	0	1	0	2	1	0	0	0	0	0	0	0	0	0	2	0	0	4	0	0	0	1	0	1	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	3	1	1	0	0	0	0	1	0	0	0	7	3	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	3	0	0	0	0	0	39	3	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	3	1	3	0	0	0	1	0	0	3	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	2	0	0	1	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	4	0	0	8	0	0	1	4	0	0	0	1	3	3	0	0	0	1	0	0	0	0	0	3	0	33	6	0	0	0	5	0	0	0	0	0	0	39	0	0	0	0	0	1	5	6	0	156	0	0	0	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	4	0	1	0	0	0	39	3	0	0	0	3	0	0	0	0	0	1	0	2	0	4	0	0	3	0	0	0	0	0	0	0	1	0	6	0	0	0	0	3	0	0	3	0	0	0	0	2	0	0	0	0	3
The Write News	0	0	0	0	15	3	0	0	0	0	0	0	0	0	0	0	2	1	0	2	0	0	0	1	0	0	0	0	1	15	0	0	0	0	0	1	0	0	2	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	10	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	9	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	5	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	1	1	1	0	0	0	0	2	0	0	0	0	2	0	0	0	0	3	0	0	0	0	0	2
blog maverick	0	0	4	1	3	2	0	0	0	1	0	3	1	0	1	0	2	0	1	1	0	0	0	0	0	0	1	0	0	0	2	1	1	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	1	2	0	0	1	0	0	0	2	2	0	0	0	0	0	0	1	0	0	3	0	0	1	0	0	0	3	1	0	0	0	1	2	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	2	0	0	0	0	2	1	0	0	0	2	0	1	0	0	0	0	0	0	0	0	3	0	3	0	0	1	0	0	0	1	0	0	0	1	0	0	2	0	0	2	0	0	0	0	0	2	0	2	0	2	2	1	0	0	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	2	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	1	0	0	2	0	0	0	1	0	0	1	0	0	0	0	0	1	1	0	0	1	0	2	0	0	0	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	2	0	0	0	0	1	0	0	1	0	2	0	0	0	0	0	1	0	0	0	0	4	0	0	0	0	0	3	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	4	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
