Channel,Creative Size,Clicks,Total Conversions,Post-Click Conversions,Post-View Conversions
mogo marks los angeles sx,728x90,41,24,7,17
/All Apps/Google Play/Photography,300x50,1,0,0,0
mogo marks nyc sx,728x90,166,877,57,820
mogo marks nyt sx,300x600,12,29,10,19
mogo marks sports sx,300x50,18,74,7,67
mogo marks video branding max reach tail aggregate sx,200x200,0,2,0,2
mogo marks visual arts sx,160x600,17,6,1,5
Android Top Selling Free News and Magazines,320x50,265,41,13,28
mogo marks t1 brand kpi sx x8t,970x90,1,4,0,4
/All Apps,970x250,33,2,2,0
/All Apps/Apple App Store/Games/Action,320x50,42,5,5,0
/All Apps/Google Play/Games/Adventure,300x250,4,1,1,0
Android Top Selling Free News and Magazines,728x90,17,2,1,1
Channel of Top US Sites for Nielsen Display Ads - DO NOT EDIT,160x600,5389,22020,1652,20368
NYPR whitelist sx (Advertiser Level),970x250,0,1,0,1
ttd education sx,300x600,281,1026,59,967
Pac Private Events/Wedding sx,970x250,2,2,0,2
mogo canada t1 sx,970x90,5,7,0,7
sfoc marks kpi sx (062018),320x50,99,647,57,590
sfoc pslx 2018 sx (Jun_2018),300x250,288,3866,255,3611
zt local austin sx,320x50,9,50,5,45
Broadway sx,728x90,0,4,0,4
kid safe sx,200x200,0,1,0,1
mogo marks perf arts sx 5 epx1,320x100,1,11,0,11
mogo marks video sx xsl44760 class a,970x250,329,287,23,264
/All Apps/Apple App Store/Business,300x600,4,0,0,0
/All Apps/Apple App Store/Games,160x600,142,3,2,1
/All Apps/Apple App Store/Games/Card,970x250,22,0,0,0
/All Apps/Apple App Store/Sports,320x50,235,4,1,3
/All Apps/Google Play/Books & Reference,320x50,107,27,14,13
5a local sx seattle,728x90,1,3,0,3
mogo marks natl elite cat-aff-im sx,970x90,2,4,0,4
mogo marks video branding medium reach tail aggregate sx,200x200,0,2,0,2
sfoc stratford hqcat sx,300x600,55,492,47,445
Channel of Top non-US Sites for Nielsen Video Ads - DO NOT EDIT,250x250,6,4,0,4
DO NOT USE Tier 1,336x280,2,24,1,23
South Coast Rep Perf Arts 5 black sx,320x50,0,1,0,1
mogo marks native sx xsl1045 class a,320x50,1470,2865,474,2391
mogo marks natl cat-aff-im sx 3,336x280,0,1,0,1
ttd health sx,160x600,68,450,9,441
/All Apps/Apple App Store/Games/Casino,728x90,571,55,53,2
DO_NOT_USE Mobile - MoPub - Games,300x250,1,0,0,0
mogo marks branding comp rate platinum video sx,160x600,263,530,96,434
mogo marks native (sharethrough) unique us sx,300x600,647,2061,180,1881
mogo marks travel sx,160x600,36,379,11,368
Channel of Top US Sites for Nielsen Display Ads - DO NOT EDIT,320x100,141,276,55,221
GG KPI sx,160x600,2,0,0,0
Lynn Grad,300x250,45,286,27,259
mogo marks perf arts branding high reach sx,300x250,555,2596,233,2363
ttd male sx,728x90,418,1589,116,1473
BR Native sx,160x600,1,3,1,2
Lynn DMAC,728x90,1,8,0,8
mogo marks branding increased reach sx,300x50,282,9111,214,8897
mogo marks toronto sx,300x250,183,1142,89,1053
ttd sports sx,728x90,296,1082,53,1029
/All Apps/Apple App Store/Health & Fitness,728x90,12,0,0,0
/All Apps/Apple App Store/Shopping,320x50,6,0,0,0
Channel of Top non-US Sites for Nielsen Video Ads - DO NOT EDIT,320x50,14745,20674,6339,14335
education master sx,300x50,48,1300,38,1262
mogo marks branding increased reach sx,120x600,1,0,0,0
mogo marks hq100p sx,200x200,0,1,0,1
mogo marks visual arts sx,970x250,2,0,0,0
ttd education sx,970x90,2,4,0,4
DO NOT USE Tier 1,300x600,3671,12822,1288,11534
mogo marks nyt sx,970x90,1,2,0,2
mogo marks perf arts sx 5 rx1,320x100,1,11,0,11
ttd tech sx,300x50,0,201,0,201
DO NOT USE Mobile - MoPub - Games/Computer & Video Games/Music & Dance Games,320x50,60,0,0,0
mogo marks branding tier 2 sx xls37852,200x200,0,2,0,2
mogo marks bw-theatre sx,320x50,2,4,1,3
mogo marks xsl_800p sx,468x60,0,1,0,1
sfoc pslx 2018 sx (Jun_2018_Archived),728x90,225,3245,177,3068
mogo marks wedding sx,300x50,0,6,0,6
ttd health sx,300x250,240,1945,72,1873
MCE Blacklist,160x600,0,2,0,2
mogo marks t1 brand sx trim,320x50,9020,11234,4605,6629
mogo marks trip advisor sx,320x50,37,238,7,231
mogo marks wsj sx x4v,970x250,7,7,1,6
/All Apps/Google Play/Sports,300x50,6,0,0,0
Channel of Top US Sites for Nielsen Video Ads - DO NOT EDIT,300x600,4914,17817,1703,16114
Performing Arts Fort Worth Top sx,320x50,8,16,0,16
mogo CBS Interactive sx,728x90,61,316,26,290
mogo marks natl elite cat-aff-im sx,970x250,441,1157,227,930
mogo marks pav kpi hx,300x50,12,368,20,348
ttd beauty sx,160x600,0,22,0,22
ttd news sx,970x250,976,2027,393,1634
/All Apps/Apple App Store/Entertainment,300x250,497,18,18,0
/All Apps/Apple App Store/Games,300x600,2905,414,381,33
/All Apps/Apple App Store/Reference,300x50,4,2,0,2
Android Top Selling Free Education,300x250,131,71,48,23
Arizona Theatre Company - Site List,300x250,7,8,1,7
DO NOT USE Mobile - MoPub - People & Society,300x250,6,1,0,1
mogo marks elite kpi achievers sx,728x90,230,1568,87,1481
mogo marks lal branding (All) silver sx,250x250,1,10,0,10
mogo mba tier 2 sx,160x600,72,388,15,373
/All Apps/Apple App Store/Games/Puzzle,300x250,16,2,2,0
Arvada local sx,300x250,4,28,2,26
Cal Performances sf local + t1 brand black sx,300x250,7,2,0,2
Channel of Top non-US Sites for Nielsen Video Ads - DO NOT EDIT,Unknown,575,35,0,35
Channel of Top non-US Sites for Nielsen Video Ads - DO NOT EDIT,468x60,0,1,0,1
University of Colorado--Shortlist- HighCTR/ high CPA ,300x250,0,7,0,7
/All Apps/Apple App Store/Food & Drink,300x50,2,0,0,0
Android Top Selling Free Social,728x90,17,0,0,0
DO NOT USE Tier 2,250x250,0,5,0,5
mogo marks branding max reach sx,200x200,0,3,0,3
mogo marks native (sharethrough) unique us sx,160x600,138,586,29,557
mogo music sx,300x50,1,22,1,21
/All Apps/Apple App Store/Games,300x250,413,16,16,0
DO NOT USE Invite December Brand Safe List,160x600,1227,3762,349,3413
DO NOT USE Mobile - MoPub - Jobs & Education,320x50,5,0,0,0
mogo black sx,300x50,14,198,10,188
mogo marks native sx xsl1045 class c,300x600,1050,4459,325,4134
ttd auto sx,320x50,64,418,7,411
ttd finance sx,300x600,426,1545,169,1376
/All Apps/Google Play/Games/Sports,320x50,29,1,1,0
/All Apps/Google Play/Games/Word,300x600,53,14,12,2
DO NOT USE Tier 3* (CHANNEL) (2),300x600,125,516,51,465
Greg's GG KPI + relevant sites list,160x600,1,0,0,0
Mogo DBM basic video sx,320x50,1220,1014,352,662
Performing Arts Fort Worth Top sx,728x90,2,7,1,6
mogo marks branding comp rate gold video sx,250x250,1,1,0,1
mogo marks natl elite cat-aff-im sx,320x100,0,4,0,4
ttd news sx,320x100,38,46,18,28
DO NOT USE Tier 2* (CHANNEL),970x250,74,77,11,66
dbm video sx,300x600,2034,6848,714,6134
mogo marks email sx,250x250,0,2,0,2
mogo marks trip advisor sx,728x90,5,116,1,115
/All Apps/Google Play/Health & Fitness,300x600,5,1,1,0
Channel of Top Global Sites for Nielsen Video Ads - DO NOT EDIT,320x50,27251,34368,9964,24404
Duxiana - KPI sx,970x250,80,1,0,1
mogo education sx,300x50,13,591,7,584
mogo marks t1 brand sx trim,728x90,2295,6721,514,6207
finn dallas native sx,300x50,0,9,0,9
mogo marks broadwayworld sx,300x600,2,35,2,33
mogo marks elite kpi achievers sx,300x50,2,18,2,16
mogo marks native (sharethrough) unique can sx,200x200,0,1,0,1
DO NOT USE Tier 3* (CHANNEL) (2),160x600,197,633,45,588
DO NOT USE fgu test public channel,160x600,10,58,2,56
dso kpi audx sx,320x50,10,345,8,337
mogo CBS Interactive sx,300x50,14,98,6,92
mogo marks jazz & blues sx,320x100,1,0,0,0
mogo marks pav kpi sx 3,320x50,482,1102,164,938
mogo marks san francisco sx,970x250,3,7,2,5
5a kpi sx,320x100,0,4,0,4
BR Native sx,320x50,77,151,31,120
Brandcast Blacklist ,728x90,453,5720,189,5531
DO NOT USE Mobile - MoPub - Arts & Entertainment/Entertainment Industry/Recording Industry,320x50,60,0,0,0
mogo marks video sx xsl44760 class c,970x250,1458,2615,457,2158
/All Apps/Google Play/Communication,728x90,1,0,0,0
/All Apps/Google Play/News & Magazines,320x50,505,57,15,42
/All Apps/Google Play/Weather,300x600,2,5,1,4
DO NOT USE Invite December Brand Safe List,300x250,6687,22574,2056,20518
Stratford KPI sx,970x250,1,29,0,29
mogo marks native (sharethrough) unique us sx,300x250,1965,6519,518,6001
mogo marks natl cat-aff-im sx,970x250,818,2093,402,1691
pac canada sports sx,300x600,213,609,69,540
sfjazz travel sx,970x250,5,5,0,5
ttd kids sx,300x250,154,550,59,491
ttd travel sx,320x50,3390,4313,3071,1242
/All Apps/Apple App Store/Business,300x250,73,4,2,2
/All Apps/Apple App Store/Navigation,728x90,7,0,0,0
/All Apps/Google Play/Games,336x280,4,4,4,0
Android Top Selling Free Travel and Local,300x600,2,0,0,0
DO NOT USE Rubicon,300x250,210,958,96,862
GG KPI sx,320x50,17,9,2,7
dbm video sx,Unknown,575,35,0,35
dbm video sx,160x600,354,1100,125,975
mogo marks branding elite tier sx xls37852,970x250,462,1162,240,922
mogo marks native high reach tail aggregate sx,970x250,1765,3506,580,2926
mogo marks pav kpi sx,300x250,324,1455,159,1296
mogo marks xsl_74205 (4p dims) sx ,336x280,0,2,0,2
ttd real estate sx,300x50,1,6,1,5
/All Apps/Apple App Store/Music,320x100,1,0,0,0
Channel of Top Global Sites for Nielsen Display Ads - DO NOT EDIT,468x60,1,5,0,5
Chicago T1 sites,300x250,85,102,50,52
Mogo DBM premium video sx,300x250,6879,20848,2014,18834
debartolo local site list,160x600,0,2,0,2
mogo CBS Interactive sx,970x250,11,34,2,32
mogo marks chicago sx,300x600,17,30,6,24
mogo marks xsl_ks0001 sx,300x50,141,4211,135,4076
/All Apps/Google Play/Games/Racing,300x250,10,0,0,0
mogo marks pav kpi sx,728x90,80,546,40,506
mogo marks perf arts sx 2,300x50,1,45,1,44
mogo marks cincinnati sx,300x600,4,9,2,7
mogo marks classical music sx,300x250,4,16,2,14
pac motorsports sx,300x50,26,447,11,436
DO NOT USE Rubicon,728x90,76,652,33,619
mogo marks broadwayworld sx,320x50,2,19,0,19
mogo marks native sx xsl1045 class a,970x90,0,4,0,4
mogo marks sports sx,160x600,18,85,1,84
mogo marks video sx xsl44760 class b,320x100,13,18,7,11
mogo marks xsl_74205 (4p dims) sx ,250x250,0,2,0,2
/All Apps/Google Play/Weather,320x50,648,112,62,50
mogo marks elite kpi achievers sx,970x250,467,1187,239,948
ttd food sx,300x50,18,746,32,714
/All Apps/Apple App Store/Games/Strategy,320x50,12,0,0,0
DO NOT USE Tier 3* (CHANNEL) (2),300x250,295,1922,104,1818
mogo cult soph sx,160x600,202,888,46,842
mogo marks branding comp rate silver video sx,320x50,11271,14018,5456,8562
mogo marks branding drhbx silver sx,320x50,17653,27899,7265,20634
Channel of Top US Sites for Nielsen Video Ads - DO NOT EDIT,300x250,17682,52234,4741,47493
mogo marks playbill 5 sx x9z,160x600,7,22,0,22
ttd auto sx,728x90,36,203,6,197
ttd entertainment sx,Unknown,575,35,0,35
ttd kids sx,160x600,356,276,87,189
/All Apps/Apple App Store/Games/Music,320x50,7,0,0,0
/All Apps/Google Play/Games/Word,300x250,17,2,2,0
/All Apps/Google Play/Health & Fitness,300x250,6,1,0,1
DO NOT USE Rubicon,160x600,256,191,60,131
mogo marks native medium reach tail aggregate sx,320x50,22340,30263,8785,21478
mogo marks perf arts branding high reach sx,970x250,70,224,67,157
mogo marks sacramento sx,970x250,2,0,0,0
mogo marks toronto sx,970x250,5,39,0,39
Channel of Top Global Sites for Nielsen Video Ads - DO NOT EDIT,728x90,6028,29731,1983,27748
DO NOT USE Mobile - MoPub - Arts & Entertainment/Music & Audio,320x50,60,0,0,0
DO NOT USE fgu test public channel,300x600,9,14,3,11
Mogo DBM basic video sx,728x90,164,700,60,640
dbm video sx,300x250,7072,22463,2069,20394
ttd finance sx,300x250,1978,4376,615,3761
/All Apps/Apple App Store/Games/Strategy,728x90,16,3,3,0
/All Apps/Apple App Store/Social Networking,320x50,453,3,1,2
DCPA display local sx,300x600,0,2,0,2
DO NOT USE Invite US Expandable Enabled Sites,300x50,3,86,2,84
DO NOT USE Tier 2* (CHANNEL),320x100,12,12,5,7
mogo marks branding elite tier sx xls37852,970x90,1,2,0,2
mogo marks branding tier 3 sx xls37852,250x250,0,5,0,5
mogo marks native sx xsl1045 class c,300x250,3752,10952,988,9964
mogo marks video sx xsl44760 class c,970x90,9,8,0,8
mogo marks branding tier 2 sx xls37852,160x600,1093,4499,285,4214
mogo marks perf arts sx 2,300x600,51,162,33,129
mogo marks playbill 5 sx x9z,300x50,0,2,0,2
Channel of Top US Sites for Nielsen Display Ads - DO NOT EDIT,468x60,2,7,0,7
mogo marks hq100p sx,160x600,1603,4866,577,4289
mogo marks lal (purchase) silver sx,970x250,1661,3483,595,2888
mogo marks natl canada cat-aff-im sx,300x250,2047,5646,725,4921
mogo marks video branding max reach tail aggregate sx,320x100,134,248,46,202
mogo marks wine sx,728x90,5,79,4,75
/All Apps/Apple App Store/Games/Arcade,300x600,3,0,0,0
/All Apps/Apple App Store/Photo & Video,300x250,2,0,0,0
Seattle Local sx,728x90,5,0,0,0
mogo marks natl cat-aff-im sx,336x280,0,2,0,2
mogo marks perf arts gold sx,336x280,0,1,0,1
ttd food sx,300x600,157,1142,59,1083
/All Apps/Apple App Store/Education,300x250,2,0,0,0
DO NOT USE Tier 3* (CHANNEL),120x600,1,0,0,0
finn dallas native sx,320x50,252,970,112,858
magic theatre top performing sx,728x90,3,10,1,9
ttd shopping sx,970x90,4,0,0,0
/All Apps/Google Play/Games/Music,320x50,20,0,0,0
/All Apps/Google Play/Travel & Local,300x250,3,4,2,2
Mogo DBM select video sx,160x600,27,200,5,195
dbm native sx (adx),300x250,3871,10211,1053,9158
mogo marks perf arts sx 5 epx1,970x90,0,1,0,1
ttd gaming sx,250x250,0,2,0,2
/All Apps/Apple App Store/Games/Board,970x250,6,1,1,0
Android Top Selling Free Books and Reference,300x50,1,4,4,0
DO NOT USE Tier 2* (CHANNEL),728x90,901,7652,322,7330
Mogo DBM premium video sx,250x250,1,3,0,3
Stratford KPI revised,970x250,9,70,9,61
/All Apps/Apple App Store/Weather,300x600,1,0,0,0
Duxiana- Bad Site List(Allan) ,160x600,6,0,0,0
Lynn Grad,728x90,0,25,0,25
mogo marks xsl_ks20780 sx,300x50,251,7857,199,7658
ttd health wellness sx,970x250,21,35,16,19
Diablo Blacklist ,728x90,4,651,7,644
RCU Blacklist Sites (CPA),300x250,1,3,0,3
mogo marks branding increased reach sx,200x200,0,3,0,3
mogo marks natl cat-aff-im sx,970x90,2,6,0,6
sfoc stratford hqcat sx,160x600,0,1,0,1
Duxiana - KPI sx,728x90,45,6,0,6
mogo marks branding max reach sx,970x250,2186,4103,714,3389
mogo marks native high reach tail aggregate sx,970x90,22,26,1,25
mogo marks perf arts branding high reach sx,320x50,424,1736,167,1569
mogo marks toronto sx,320x50,52,248,36,212
mogo marks travel sx,300x250,34,450,8,442
/All Apps/Apple App Store/Games/Board,728x90,1927,179,169,10
Provident High CTR List ,300x250,229,2,0,2
bbb kpi sx (2019),300x600,1,76,0,76
mogo marks branding drhbx platinum sx,970x90,2,5,0,5
mogo marks video branding extended reach tail aggregate sx,970x90,11,10,0,10
mogo marks wedding sx,300x250,0,26,0,26
zt local austin sx,160x600,0,2,0,2
/All Apps/Apple App Store/Music,160x600,1,0,0,0
/All Apps/Google Play/Games/Educational,320x50,8,1,1,0
DO NOT USE Tier 3,120x600,1,0,0,0
Duxiana - KPI sx,320x50,1941,1152,1120,32
Stratford KPI revised,320x50,28,110,23,87
mogo marks branding max reach sx,320x50,36288,50822,12753,38069
mogo marks xsl_ks0001 sx,250x250,1,16,0,16
mogo music sx,300x600,9,62,4,58
/All Apps/Apple App Store/Games/Board,320x50,637,19,13,6
/All Apps/Apple App Store/Reference,300x250,1,0,0,0
DO NOT USE Tier 3,300x50,82,2820,87,2733
mogo biz-fi sx,336x280,0,1,0,1
mogo marks broadway sx,336x280,0,1,0,1
mogo marks xsl_ks20780 sx,120x600,1,0,0,0
ttd shopping sx,300x50,2,219,2,217
DO NOT USE Invite US Expandable Enabled Sites,300x600,64,188,15,173
mogo black sx,300x250,369,968,87,881
mogo education sx,300x600,42,278,7,271
mogo marks branding tier 1 sx xls37852,250x250,4,10,0,10
mogo marks dallas sx,300x250,48,112,19,93
mogo marks high intenders sx,160x600,20,123,6,117
ttd health wellness sx,320x50,722,3001,270,2731
DCPA rt black sx,160x600,1,9,0,9
DO NOT USE AppNexus - Collective Media,336x280,4,1,0,1
Nashville Symphony black list all adgroups,970x250,0,11,0,11
iab aff-im black sx,970x250,1,0,0,0
mogo marks bwwpb sx,336x280,0,1,0,1
mogo marks pav kpi hx,300x250,3077,8572,964,7608
pac canada sports sx,300x50,19,67,7,60
/All Apps/Google Play/Games/Card,300x250,47,11,9,2
DO NOT USE All Google Anonymous,728x90,0,1,0,1
mogo marks nyc sx,970x250,434,1061,228,833
mogo marks pav kpi hx,970x90,1,2,0,2
provident shortlist ,160x600,434,1528,109,1419
mogo centro sx US (2014),970x90,4,2,1,1
mogo marks branding tier 3 sx xls37852,320x100,49,108,24,84
mogo marks ttd obx kitchen premium sink sx,300x600,3916,14223,1296,12927
mogo marks xsl_74205 (2p dims) sx ,300x600,1145,4845,455,4390
/All Apps/Google Play/Tools,300x250,105,13,12,1
Channel of Top non-US Sites for Nielsen Display Ads - DO NOT EDIT,300x100,1,0,0,0
DO NOT USE Tier 1* (CHANNEL),300x50,98,1960,62,1898
mogo marks bwwpb sx,160x600,55,385,22,363
mogo marks native high reach tail aggregate sx,468x60,1,3,0,3
mogo marks video sx xsl44760 class c,468x60,0,1,0,1
mogo t1 brand sx,300x600,1854,6097,639,5458
sfoc 2018 marks stratford premium sx,728x90,145,2053,116,1937
ttd family parent sx,728x90,300,910,97,813
/All Apps/Apple App Store,300x250,1764,67,50,17
DO_NOT_USE Mobile - MoPub - Games,320x50,27,1,1,0
Mogo DBM select video sx,728x90,83,881,34,847
mogo marks branding drhbx gold sx,300x50,23,918,9,909
mogo mba tier 1 sx,300x250,95,607,34,573
ttd gaming sx,300x250,440,981,115,866
DO NOT USE AppNexus - Collective Media,Unknown,575,35,0,35
mogo biz-fi sx,160x600,21,128,5,123
mogo marks los angeles sx,970x250,1,0,0,0
sfoc pslx 2018 sx (Jun_2018_Archived),160x600,101,520,59,461
/All Apps/Apple App Store/Games/Word,300x250,297,11,11,0
Duxiana - Longtail Blacklist,320x50,131,4,3,1
LSSU url v1,970x250,1,103,1,102
dbm native sx (adx),160x600,113,592,20,572
dbm video sx,300x50,48,1603,30,1573
mogo marks ballet sx,320x50,3,3,0,3
mogo marks lal branding (All) platinum sx,970x90,5,1,0,1
mogo marks los angeles sx,300x600,13,9,2,7
mogo marks xsl_ks20780 sx,728x90,7691,39231,2582,36649
ttd finance sx,300x50,8,119,2,117
ttd spanish sx,300x250,81,72,17,55
mogo marks branding tier 3 sx xls37852,300x250,3759,14006,1275,12731
mogo marks native sx xsl1045 class c,300x50,42,918,34,884
ocfta local madison sx,300x250,2,17,0,17
provident shortlist ,250x250,2,4,0,4
Channel of Top US Sites for Nielsen Display Ads - DO NOT EDIT,250x250,10,23,0,23
DO NOT USE Tier 3,970x250,292,546,125,421
Lynn Undergrad,300x250,87,300,54,246
mogo marks broadwayworld sx,320x100,0,4,0,4
mogo marks nyc sx,300x600,74,160,32,128
mogo marks perf arts sx 7,728x90,53,217,20,197
Channel of Top US Sites for Nielsen Video Ads - DO NOT EDIT,300x50,244,6768,165,6603
mogo marks branding max reach sx,336x280,26,129,6,123
mogo marks natl canada cat-aff-im sx,160x600,55,385,22,363
/All Apps/Google Play/Games/Word,300x50,7,1,0,1
Android Top Selling Free Books and Reference,728x90,3,0,0,0
Channel of Top Global Sites for Nielsen Video Ads - DO NOT EDIT,200x200,0,2,0,2
SP News Black sx,320x50,44,74,43,31
mogo marks lal (purchase) silver sx,970x90,14,16,0,16
ttd shopping sx,970x250,15,41,8,33
/All Apps/Google Play/Tools,160x600,1,0,0,0
Android Top Selling Free Weather,300x50,8,0,0,0
Channel of Top US Sites for Nielsen Display Ads - DO NOT EDIT,300x600,5934,23941,2036,21905
mogo marks branding increased reach sx,Unknown,575,35,0,35
mogo marks natl canada cat-aff-im sx,728x90,266,2284,110,2174
mogo marks video sx xsl44760 class b,336x280,0,2,0,2
ttd entertainment sx,970x250,670,1479,295,1184
ttd weather sx,300x250,198,825,87,738
/All Apps/Apple App Store/Games/Arcade,320x50,16,2,2,0
Android Top Selling Free Tools,300x250,112,15,10,5
dbm native sx (adx),728x90,1279,2682,189,2493
mogo marks kpi achievers sx,970x90,4,2,0,2
mogo perf arts sx,300x50,1,49,1,48
sfoc rtx kpi sx,160x600,38,61,19,42
ttd female sx,970x250,113,197,35,162
/All Apps/Google Play/Finance,300x250,1,1,0,1
DO NOT USE Tier 2,300x50,27,1810,17,1793
mogo marks branding increased reach sx,468x60,1,4,0,4
mogo marks branding max reach sx,468x60,1,5,0,5
mogo marks pav kpi sx 2,300x250,3171,8358,1007,7351
ttd food sx,320x50,1106,4528,395,4133
/All Apps/Apple App Store/News,970x90,1,0,0,0
/All Apps/Apple App Store/Photo & Video,728x90,11,1,1,0
Top Performing Sites,300x600,73,68,7,61
mogo marks perf arts sx 5 rx1,300x600,37,98,26,72
mogo marks xsl_74205 sx ,970x90,2,4,0,4
DO NOT USE Invite December Brand Safe List,200x200,0,1,0,1
DO NOT USE Tier 3* (CHANNEL),970x250,292,546,125,421
RCU KPI Sitelist 1 (CPA),300x600,1,3,0,3
dso custom hx,970x250,0,10,0,10
mogo financial services kpi sx,250x250,1,5,0,5
mogo marks coupon sx,300x50,0,2,0,2
provident shortlist ,300x600,2764,10907,1006,9901
debartolo local site list,300x250,0,21,0,21
dso custom hx,300x600,1,43,2,41
mogo marks branding tier 3 sx xls37852,160x600,690,2812,188,2624
mogo marks video branding max reach tail aggregate sx,728x90,6754,33182,2259,30923
pac canada sports sx,970x90,2,3,0,3
ttd entertainment sx,300x600,885,2888,289,2599
/All Apps/Apple App Store/Games/Trivia,300x600,17,0,0,0
/All Apps/Google Play,970x250,5,1,1,0
Android Top Selling Free Sports,300x600,12,0,0,0
DO NOT USE fgu test public channel,728x90,225,834,56,778
mogo marks xsl_800p sx,970x250,1931,3497,650,2847
sfoc kpi sx (acquisition 2019),970x250,14,107,16,91
/All Apps/Apple App Store/Newsstand/News & Politics,300x600,63,1,0,1
ttd female sx,300x600,191,1226,67,1159
/All Apps/Apple App Store/Games/Racing,728x90,9,1,1,0
/All Apps/Google Play/Games/Casino,300x250,4,0,0,0
DCPA display local sx,728x90,4,60,2,58
mogo marks agg sx xsl37589,336x280,20,93,4,89
mogo marks video branding medium reach tail aggregate sx,336x280,12,15,2,13
/All Apps/Apple App Store/Games/Word,160x600,1,0,0,0
/All Apps/Google Play/Photography,300x250,3,0,0,0
DO NOT USE Tier 3* (CHANNEL),300x600,1118,5317,325,4992
mogo marks sports sx,300x250,439,1273,100,1173
5a local sx seattle,300x600,0,2,0,2
DCPA Video black sx,970x250,1,0,0,0
DO NOT USE Invite US Expandable Enabled Sites,300x250,356,1568,113,1455
mogo education sx,300x250,343,1261,128,1133
mogo marks elite kpi achievers sx,160x600,899,2185,331,1854
ttd tech sx,970x250,37,59,20,39
/All Apps/Google Play/Games/Educational,728x90,3,1,1,0
SP black sx,160x600,0,1,0,1
Stratford KPI revised,728x90,7,85,4,81
mogo marks branding increased reach sx,970x250,2127,4041,694,3347
mogo marks branding max reach sx,728x90,9107,47770,3054,44716
mogo marks sacramento sx,320x50,117,184,49,135
mogo marks video sx xsl44760 class b,160x600,559,1438,227,1211
ttd health sx,250x250,0,2,0,2
bbb kpi sx (2019),300x250,7,99,4,95
mogo marks branding comp rate platinum video sx,250x250,0,1,0,1
mogo marks lal (purchase) gold sx,320x50,7204,15053,4398,10655
mogo marks perf arts sx 5 epx1,300x50,0,10,0,10
/All Apps/Apple App Store/Newsstand,300x250,283,15,7,8
Channel of Top non-US Sites for Nielsen Display Ads - DO NOT EDIT,970x90,15,16,0,16
education master sx,970x250,581,1226,211,1015
ttd health wellness sx,728x90,97,1296,32,1264
/All Apps/Apple App Store/Food & Drink,300x250,4,0,0,0
/All Apps/Apple App Store/Games/Casino,300x600,578,43,33,10
mogo music sx,300x250,21,103,9,94
ttd male sx,336x280,0,2,0,2
Android Top Selling Free Game,160x600,7,1,1,0
Diablo Blacklist ,300x50,0,9,0,9
mogo marks lal branding (All) platinum sx,160x600,304,1841,97,1744
mogo marks perf arts branding high reach sx,300x50,1,44,0,44
Lynn General,320x50,146,210,60,150
mogo marks detroit sx,970x250,0,4,0,4
/All Apps/Google Play/Games/Casual,160x600,1,1,0,1
mogo marks broadway sx,320x100,0,4,0,4
mogo marks houston sx,320x50,50,48,7,41
mogo marks outbound kpi sx x1a,970x90,4,2,0,2
mogo marks perf arts platinum sx,320x100,0,4,0,4
pac canada sports sx,300x250,697,2478,213,2265
Cal Perf KPI sx ,300x250,161,16,0,16
DO NOT USE Tier 3,300x250,3768,14058,1095,12963
mogo centro sx US (2014),250x250,0,2,0,2
mogo marks lal (purchase) silver sx,160x600,2928,16390,1015,15375
mogo marks native sx xsl1045 class b,320x100,2,8,4,4
ttd shopping sx,300x250,154,1652,66,1586
zt perf arts black sx 5,320x50,0,2,0,2
/All Apps/Apple App Store/Catalogs,320x50,1,0,0,0
/All Apps/Apple App Store/Games/Family,320x50,22,0,0,0
Android Top Selling Free Travel and Local,300x250,2,2,2,0
CST KPI List,970x250,1,1,1,0
DO NOT USE OAM FR,300x250,4,41,0,41
arizona opera top converters sx,320x50,71,155,43,112
mogo marks lal (purchase) platinum sx,336x280,0,1,0,1
mogo marks native standard reach (no) tail aggregate sx,336x280,6,14,3,11
mogo marks perf arts sx 5 epx1,300x600,33,95,25,70
mogo marks philadelphia sx,320x50,21,12,7,5
Android Top Selling Free Tools,160x600,1,0,0,0
Mercury Theater Chicago sx,160x600,22,30,17,13
maryland-dc sx,300x600,7,3,2,1
ttd spanish sx,320x50,350,394,74,320
zt perf arts black sx 5,300x250,0,5,0,5
/All Apps/Apple App Store/Games/Family,300x250,1,0,0,0
/All Apps/Apple App Store/Games/Word,728x90,144,10,7,3
KCPA Local sx,300x600,0,2,0,2
Mogo DBM premium video sx,320x100,36,45,16,29
fgu test public channel,160x600,10,58,2,56
mogo marks philadelphia sx,300x250,3,7,3,4
/All Apps/Google Play/Business,300x600,1,0,0,0
Lynn General,300x250,113,690,70,620
mogo black sx,336x280,0,1,0,1
mogo marks branding tier 3 sx xls37852,728x90,1138,6669,378,6291
ttd entertainment sx,970x90,4,6,0,6
/All Apps/Apple App Store/Games/Educational,728x90,17,4,4,0
Lynn Undergrad,320x50,69,93,25,68
arizona opera top converters sx,300x250,53,114,42,72
mogo lydia peacecenter test,160x600,1770,4764,590,4174
mogo marks agg sx xsl37589,468x60,1,5,0,5
mogo marks chicago sx,970x250,9,32,1,31
mogo marks houston sx,300x250,58,126,8,118
mogo marks video branding medium reach tail aggregate sx,468x60,1,3,0,3
mogo marks xsl_74205 (4p dims) sx ,160x600,442,1808,108,1700
/All Apps/Apple App Store/Newsstand/Regional News,300x600,63,1,0,1
Channel of Top US Sites for Nielsen Video Ads - DO NOT EDIT,200x200,0,2,0,2
